event_ticker,horizon,date,days_to_release,release_date,settled,actual_cpi_mom,implied_mean,implied_sd,prob_true_bin,abs_error_mean,prob_sum_raw,mono_violation,n_thresholds,avg_spread,day_volume
CPI-22JUL,30,2022-07-11,30,2022-08-10,True,0.0,0.47150000000000003,0.2807806083047759,0.09499999999999997,0.47150000000000003,1.0,0.0,11,0.03363636363636364,3417.0
CPI-22JUL,14,2022-07-27,14,2022-08-10,True,0.0,0.4050000000000001,0.2515452245621053,0.16999999999999993,0.4050000000000001,1.0,0.0,11,0.029090909090909087,9643.0
CPI-22JUL,7,2022-08-03,7,2022-08-10,True,0.0,0.39249999999999985,0.22889681081220858,0.10999999999999996,0.39249999999999985,1.0000000000000002,0.0,11,0.026363636363636367,12935.0
CPI-22JUL,1,2022-08-09,1,2022-08-10,True,0.0,0.32300000000000006,0.20705313327742714,0.21999999999999997,0.32300000000000006,1.0,0.005,11,0.026363636363636367,42940.0
CPI-22JUN,30,2022-06-13,30,2022-07-13,True,1.3,0.9185000000000001,0.2640222528500203,0.225,0.38149999999999995,1.0,0.0,11,0.028181818181818183,5862.0
CPI-22JUN,14,2022-06-29,14,2022-07-13,True,1.3,0.9760000000000002,0.25617181734140865,0.08500000000000002,0.32399999999999984,0.9999999999999999,0.0,13,0.03076923076923079,3635.0
CPI-22JUN,7,2022-07-06,7,2022-07-13,True,1.3,0.9390000000000002,0.2457213869405755,0.085,0.3609999999999999,0.9999999999999999,0.0,13,0.02307692307692308,4991.0
CPI-22JUN,1,2022-07-12,1,2022-07-13,True,1.3,1.079,0.20702415318025094,0.115,0.22100000000000009,1.0,0.0,13,0.02615384615384616,59262.0
CPI-22MAR,30,2022-03-14,29,2022-04-12,True,1.2,0.9975,0.18559027452967472,0.26,0.2024999999999999,1.0,0.040000000000000036,14,0.024999999999999998,7828.0
CPI-22MAR,14,2022-03-29,14,2022-04-12,True,1.2,1.0505000000000002,0.15394723121901224,0.305,0.14949999999999974,1.0,0.0,7,0.027142857142857153,3078.0
CPI-22MAR,7,2022-04-05,7,2022-04-12,True,1.2,1.064,0.1568566224295296,0.43,0.1359999999999999,1.0,0.0,7,0.020000000000000018,2534.0
CPI-22MAR,1,2022-04-11,1,2022-04-12,True,1.2,1.0865,0.14787748307298182,0.475,0.11349999999999993,1.0,0.0,7,0.02714285714285713,39744.0
CPI-22MAY,30,2022-05-11,30,2022-06-10,True,1.0,0.5750000000000001,0.27581696829600605,0.029999999999999992,0.42499999999999993,1.0,0.0,12,0.023333333333333314,5764.0
CPI-22MAY,14,2022-05-27,14,2022-06-10,True,1.0,0.6310000000000002,0.25717503766889976,0.03,0.3689999999999998,1.0,0.0,12,0.026666666666666672,8643.0
CPI-22MAY,7,2022-06-03,7,2022-06-10,True,1.0,0.7775000000000002,0.21781586259958208,0.08000000000000002,0.2224999999999998,1.0,0.0,12,0.01583333333333333,6648.0
CPI-22MAY,1,2022-06-09,1,2022-06-10,True,1.0,0.8045000000000001,0.18955144420446923,0.08,0.1954999999999999,1.0,0.0,12,0.024166666666666666,26128.0
CPI-22NOV,30,2022-11-13,30,2022-12-13,True,0.1,0.3710000000000001,0.17651912077732543,0.3200000000000001,0.27100000000000013,0.9999999999999999,0.0,6,0.029999999999999985,1942.0
CPI-22NOV,14,2022-11-29,14,2022-12-13,True,0.1,0.261,0.19060167890131502,0.2400000000000001,0.161,1.0,0.0,9,0.025555555555555547,5872.0
CPI-22NOV,7,2022-12-06,7,2022-12-13,True,0.1,0.2935,0.18949340357912198,0.1399999999999999,0.19349999999999998,1.0,0.0,9,0.02111111111111111,7391.0
CPI-22NOV,1,2022-12-12,1,2022-12-13,True,0.1,0.29950000000000004,0.1736368336500064,0.14,0.19950000000000004,1.0,0.0,8,0.02624999999999999,68071.0
CPI-22OCT,30,2022-10-11,30,2022-11-10,True,0.4,0.561,0.24572138694057544,0.115,0.16100000000000003,0.9999999999999999,0.009999999999999995,8,0.03499999999999999,1744.0
CPI-22OCT,14,2022-10-27,14,2022-11-10,True,0.4,0.6090000000000001,0.16738876903783004,0.07499999999999996,0.20900000000000007,1.0,0.0,8,0.014999999999999994,1132.0
CPI-22OCT,7,2022-11-03,7,2022-11-10,True,0.4,0.6265,0.1443874994589213,0.04999999999999993,0.22649999999999992,1.0,0.0,6,0.02166666666666668,8061.0
CPI-22OCT,1,2022-11-09,1,2022-11-10,True,0.4,0.6900000000000001,0.13892443989449807,0.010000000000000009,0.29000000000000004,1.0,0.0,8,0.02250000000000001,6280.0
CPI-22SEP,30,2022-09-13,30,2022-10-13,True,0.4,0.244,0.21740285186721908,0.18000000000000005,0.15600000000000003,1.0,0.01,11,0.03454545454545455,17692.0
CPI-22SEP,14,2022-09-29,14,2022-10-13,True,0.4,0.281,0.19707612742288197,0.165,0.119,1.0,0.0,11,0.012727272727272733,4937.0
CPI-22SEP,7,2022-10-06,7,2022-10-13,True,0.4,0.29400000000000004,0.18429324458590446,0.21500000000000002,0.10599999999999998,1.0,0.0,11,0.025454545454545452,2094.0
CPI-22SEP,1,2022-10-12,1,2022-10-13,True,0.4,0.28600000000000003,0.1780561709124399,0.20500000000000002,0.11399999999999999,1.0,0.0,11,0.021818181818181806,29356.0
CPI-23APR,30,2023-04-10,30,2023-05-10,True,0.4,0.4185,0.1597114585745181,0.33000000000000007,0.01849999999999996,1.0,0.0,7,0.05571428571428574,41.0
CPI-23APR,14,2023-04-26,14,2023-05-10,True,0.4,0.38600000000000007,0.16432893841317178,0.21499999999999997,0.013999999999999957,1.0,0.0,8,0.03749999999999999,5250.0
CPI-23APR,7,2023-05-03,7,2023-05-10,True,0.4,0.3445,0.13479521504860623,0.23499999999999996,0.05550000000000005,1.0,0.0,6,0.034999999999999996,8194.0
CPI-23APR,1,2023-05-09,1,2023-05-10,True,0.4,0.41275,0.12165499373227555,0.44500000000000006,0.012749999999999984,1.0,0.0,7,0.04285714285714286,39739.0
CPI-23AUG,30,2023-08-14,30,2023-09-13,True,0.6,0.5895,0.12385374439232753,0.41000000000000003,0.010499999999999954,1.0,0.0,7,0.0385714285714286,1587.0
CPI-23AUG,14,2023-08-30,14,2023-09-13,True,0.6,0.6499999999999999,0.09591663046625437,0.27,0.04999999999999993,1.0,0.0,4,0.03999999999999997,295.0
CPI-23AUG,7,2023-09-06,7,2023-09-13,True,0.6,0.6475,0.10046765648705058,0.27500000000000013,0.04749999999999999,1.0,0.0,6,0.028333333333333308,10341.0
CPI-23AUG,1,2023-09-12,1,2023-09-13,True,0.6,0.641,0.09653496775780265,0.29999999999999993,0.041000000000000036,1.0,0.0,6,0.019999999999999993,8790.0
CPI-23DEC,30,2023-12-12,30,2024-01-11,True,0.3,0.191,0.11497391008398383,0.19,0.10899999999999999,1.0,0.0,7,0.06857142857142857,3565.0
CPI-23DEC,14,2023-12-28,14,2024-01-11,True,0.3,0.2325,0.0647591692349431,0.425,0.06749999999999998,1.0,0.0,2,0.04500000000000004,0.0
CPI-23DEC,7,2024-01-04,7,2024-01-11,True,0.3,0.2335,0.10453587900811855,0.38499999999999995,0.06649999999999998,1.0,0.0,4,0.04249999999999998,614.0
CPI-23DEC,1,2024-01-10,1,2024-01-11,True,0.3,0.24250000000000002,0.08912771734987944,0.445,0.05749999999999997,1.0,0.0,7,0.027142857142857146,3335.0
