target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2013-12,2014-01-07,0.2714486084,
2013-12,2014-01-08,0.2714486084,
2013-12,2014-01-09,0.2714486084,
2013-12,2014-01-10,0.2714486084,
2014-01,2014-01-02,0.0644952879,
2014-01,2014-01-03,-0.0403358419,
2014-01,2014-01-06,-0.033393426,
2014-01,2014-01-07,0.0472896646,
2014-01,2014-01-08,0.0472896646,
2014-01,2014-01-09,0.0472896646,
2014-01,2014-01-10,0.0472896646,
2014-01,2014-01-13,0.0472896646,
2014-01,2014-01-14,0.0432957278,
2014-01,2014-01-15,0.0432957278,
2014-01,2014-01-16,0.0440334732,
2014-01,2014-01-17,0.0440334732,
2014-01,2014-01-21,0.0266511863,
2014-01,2014-01-22,0.0266511863,
2014-01,2014-01-23,0.0266511863,
2014-01,2014-01-24,0.0266511863,
2014-01,2014-01-27,0.0175589132,
2014-01,2014-01-28,0.0175589132,
2014-01,2014-01-29,0.0175589132,
2014-01,2014-01-30,0.0175589132,
2014-01,2014-01-31,0.0175589132,
2014-01,2014-02-03,0.0175589132,
2014-01,2014-02-04,0.0175589132,
2014-01,2014-02-05,0.0175589132,
2014-01,2014-02-06,0.0175589132,
2014-01,2014-02-07,0.0175589132,
2014-01,2014-02-10,0.0175589132,
2014-01,2014-02-11,0.0175589132,
2014-01,2014-02-12,0.0175589132,
2014-01,2014-02-13,0.0728332113,
2014-01,2014-02-14,0.0728332113,
2014-02,2014-02-03,0.1019897335,
2014-02,2014-02-04,-0.006581305,
2014-02,2014-02-05,-0.006581305,
2014-02,2014-02-06,-0.006581305,
2014-02,2014-02-07,-0.006581305,
2014-02,2014-02-10,-0.006581305,
2014-02,2014-02-11,0.0061216399,
2014-02,2014-02-12,0.0061216399,
2014-02,2014-02-13,0.0061216399,
2014-02,2014-02-14,0.0061216399,
2014-02,2014-02-18,-0.0410285791,
2014-02,2014-02-19,-0.0046123243,
2014-02,2014-02-20,-0.0020109037,
2014-02,2014-02-21,-0.0020109037,
2014-02,2014-02-24,0.0387041541,
2014-02,2014-02-25,0.0387041541,
2014-02,2014-02-26,0.0387041541,
2014-02,2014-02-27,0.0387041541,
2014-02,2014-02-28,0.0387041541,
2014-02,2014-03-03,0.0387041541,
2014-02,2014-03-04,0.0387041541,
2014-02,2014-03-05,0.0387041541,
2014-02,2014-03-06,0.0387041541,
2014-02,2014-03-07,0.0387041541,
2014-02,2014-03-10,0.0387041541,
2014-02,2014-03-11,0.0387041541,
2014-02,2014-03-12,0.0387041541,
2014-02,2014-03-13,0.0387041541,
2014-03,2014-03-03,-0.1322478152,
2014-03,2014-03-04,-0.0199345915,
2014-03,2014-03-05,-0.0199345915,
2014-03,2014-03-06,-0.0199345915,
2014-03,2014-03-07,-0.0199345915,
2014-03,2014-03-10,0.0018725035,
2014-03,2014-03-11,0.0018725035,
2014-03,2014-03-12,0.0018725035,
2014-03,2014-03-13,0.0018725035,
2014-03,2014-03-14,0.0018725035,
2014-03,2014-03-17,0.0346269054,
2014-03,2014-03-18,0.0346269054,
2014-03,2014-03-19,0.0346269054,
2014-03,2014-03-20,0.0346269054,
2014-03,2014-03-21,0.0478421405,
2014-03,2014-03-24,0.0478421405,
2014-03,2014-03-25,0.0478421405,
2014-03,2014-03-26,0.0478421405,
2014-03,2014-03-27,0.0478421405,
2014-03,2014-03-28,0.0641329213,
2014-03,2014-03-31,0.0641329213,
2014-03,2014-04-01,0.0641329213,
2014-03,2014-04-02,0.0641329213,
2014-03,2014-04-03,0.0641329213,
2014-03,2014-04-04,0.0641329213,
2014-03,2014-04-07,0.0641329213,
2014-03,2014-04-08,0.0641329213,
2014-03,2014-04-09,0.0641329213,
2014-04,2014-04-01,-0.0051496894,
2014-04,2014-04-02,-0.0766688638,
2014-04,2014-04-03,-0.0833942907,
2014-04,2014-04-04,-0.0659519233,
2014-04,2014-04-07,-0.0523096954,
2014-04,2014-04-08,0.1479750505,
2014-04,2014-04-09,0.1479750505,
2014-04,2014-04-10,0.1479750505,
2014-04,2014-04-11,0.1479750505,
2014-04,2014-04-14,0.1479750505,
2014-04,2014-04-15,0.1970099416,
2014-04,2014-04-16,0.1970099416,
2014-04,2014-04-17,0.1970099416,
2014-04,2014-04-18,0.1970099416,
2014-04,2014-04-21,0.2248590165,
